area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2,Coomee ,1056,2,1,39.07
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,95.0
Super built-up  Area,Ready To Move,Whitefield,2,DuenaTa,1170,2,1,38.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Shncyes,1000,2,1,38.0
Plot  Area,Ready To Move,Sarjapur,3,Skityer,2250,3,2,148.0
Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1180,3,2,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,60.0
Super built-up  Area,19-Dec,Binny Pete,3,She 2rk,1755,3,1,122.0
Super built-up  Area,17-Oct,Ramagondanahalli,2,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,3,KBityo ,1025,2,1,47.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,35.0
Super built-up  Area,Ready To Move,Hebbal,3,Mahosya,1760,2,2,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,700,2,1,36.0
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1724,3,2,125.0
Super built-up  Area,19-Dec,Sarjapur  Road,3,Soini T,1254,3,2,38.0
Super built-up  Area,19-Sep,Kanakpura Road,2,Soazak ,1330.74,2,2,91.79
Super built-up  Area,20-Sep,Whitefield,2,Goted U,1459,2,1,94.82
Super built-up  Area,Ready To Move,Adarsh Nagar,2,Bhncyis,1270,2,1,50.0
Super built-up  Area,18-Mar,Bhoganhalli,3,Rosha I,1670,3,1,99.0
Built-up  Area,Ready To Move,Whitefield,3,Suent V,2010,3,2,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1185,2,2,75.0
Super built-up  Area,Ready To Move,Yelahanka,3,NCowsar,1600,2,3,75.0
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,PeBayle,1500,2,2,185.0
Super built-up  Area,Ready To Move,Ganga Nagar,2,Laavevi,845,2,1,55.0
Built-up  Area,Ready To Move,Varthur,2,HioraTr,1160,2,2,44.0
Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,1358,2,1,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3,Sonosty,1569,3,1,101.0
Super built-up  Area,18-Apr,Haralur Road,2,SNnia E,1240,2,1,70.0
Super built-up  Area,Ready To Move,Hennur Road,3,Anavi B,2089,3,2,140.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3,Viony H,2511,3,3,205.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3,AdentEl,1660,2,2,105.0
Super built-up  Area,19-Mar,Yelahanka,2,Niareum,1326,2,2,78.0
Super built-up  Area,17-Sep,Dasanapura,2,Tavenew,708,2,2,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,Srire S,1060,2,2,58.06
Built-up  Area,Ready To Move,Sanjay nagar,2,Saenti ,1000,2,2,70.0
Plot  Area,Ready To Move,Kengeri,4,Goardth,2894,4,1,245.0
